1,0,136
1,4,161
1,4,351
1,5,83
1,5,157
1,5,203
1,5,751
1,6,97
1,6,582
1,7,768
1,8,72
1,9,0
1,9,373
1,13,792
1,14,214
1,14,685
1,16,456
1,16,772
1,17,77
1,17,555
1,18,516
1,19,265
1,19,669
1,23,58
1,23,375
1,24,91
1,24,470
1,24,488
1,24,748
1,25,32
1,25,609
1,26,700
1,27,795
1,28,25
1,29,415
1,29,774
1,30,624
1,32,44
1,32,636
1,35,83
1,35,115
1,35,274
1,36,488
1,36,773
1,37,256
1,37,541
1,38,318
1,38,602
1,39,795
1,41,307
1,42,428
1,43,704
1,44,168
1,44,788
1,45,197
1,45,380
1,45,566
1,45,772
1,46,631
1,47,187
1,48,206
1,49,726
1,50,679
1,52,475
1,52,603
1,53,81
1,53,326
1,53,395
1,55,23
1,55,698
1,57,353
1,57,425
1,58,523
1,59,276
1,59,718
1,60,223
1,60,230
1,60,386
1,62,629
1,64,723
1,65,51
1,66,407
1,69,191
1,69,430
1,70,19
1,70,742
1,70,765
1,71,80
1,72,531
1,73,614
1,74,315
1,76,101
1,76,225
1,78,652
1,79,429
1,79,776
1,80,40
1,81,296
1,82,353
1,82,498
1,84,196
1,85,393
1,87,193
1,87,543
1,88,414
1,88,657
1,89,264
1,92,315
1,92,653
1,92,765
1,94,110
1,94,241
1,95,36
1,95,73
1,95,538
1,96,635
1,99,113
1,101,583
1,102,171
1,103,360
1,104,88
1,105,528
1,106,134
1,110,573
1,113,168
1,115,31
1,116,129
1,116,199
1,116,250
1,116,515
1,116,537
1,121,145
1,122,159
1,122,399
1,124,278
1,124,431
1,124,527
1,126,516
1,127,144
1,128,69
1,128,549
1,129,159
1,130,80
1,130,728
1,132,185
1,134,114
1,134,568
1,134,676
1,135,240
1,135,589
1,136,22
1,136,287
1,137,696
1,139,774
1,139,796
1,140,232
1,141,11
1,141,42
1,143,176
1,143,587
1,144,101
1,144,754
1,145,421
1,145,541
1,146,156
1,147,277
1,147,471
1,148,25
1,148,386
1,149,452
1,150,677
1,153,289
1,154,735
1,155,495
1,156,232
1,159,260
1,159,589
1,160,109
1,161,201
1,164,466
1,165,350
1,169,42
1,172,794
1,174,229
1,177,430
1,177,727
1,179,283
1,182,746
1,183,509
1,183,700
1,184,51
1,184,89
1,185,10
1,186,425
1,186,440
1,192,408
1,192,668
1,194,630
1,195,358
1,197,275
1,199,308
1,199,374
1,201,433
1,201,505
1,201,593
1,204,251
1,204,461
1,204,703
1,204,748
1,206,435
1,207,786
1,209,26
1,209,368
1,210,523
1,212,122
1,213,344
1,213,596
1,215,798
1,216,506
1,218,294
1,219,103
1,220,193
1,220,352
1,223,124
1,224,8
1,225,169
1,226,63
1,226,590
1,228,775
1,230,574
1,230,702
1,231,52
1,231,655
1,232,482
1,233,515
1,233,708
1,236,355
1,236,436
1,237,119
1,239,93
1,240,173
1,240,464
1,240,633
1,241,96
1,242,335
1,245,679
1,246,199
1,247,278
1,253,7
1,253,448
1,253,795
1,254,352
1,259,477
1,259,549
1,261,192
1,263,411
1,264,245
1,265,291
1,265,743
1,266,45
1,268,427
1,269,84
1,270,109
1,270,272
1,270,316
1,274,312
1,274,442
1,275,94
1,275,732
1,276,118
1,276,618
1,276,626
1,276,692
1,279,693
1,280,184
1,284,637
1,285,265
1,285,787
1,286,208
1,286,537
1,287,582
1,288,223
1,288,358
1,288,621
1,289,427
1,291,577
1,292,277
1,292,480
1,293,438
1,294,178
1,294,637
1,295,2
1,295,201
1,297,424
1,297,521
1,298,95
1,298,247
1,298,668
1,300,193
1,300,765
1,301,683
1,304,281
