4,8
1,2
301,628
152,506
543,152
358,17
655,642
392,120
604,668
41,197
152,734
280,637
484,531
757,132
346,780
461,739
140,22
101,496
26,190
503,766
732,268
179,700
658,683
774,574
585,759
91,787
687,539
683,439
314,177
559,244
338,519
617,280
329,49
117,687
711,411
422,353
343,588
469,286
425,723
2,698
200,701
12,174
150,47
473,6
672,690
119,198
52,245
570,130
625,80
333,440
331,516
185,570
31,64
576,104
244,587
514,81
608,103
147,752
287,498
536,312
395,99
549,774
759,290
291,2
591,455
59,118
286,549
270,26
779,384
546,230
699,559
132,287
209,372
575,738
436,35
56,157
765,689
266,109
612,567
393,509
511,145
160,170
459,541
78,498
32,149
661,748
340,68
166,785
717,123
663,435
165,497
470,275
274,109
261,291
638,314
434,284
701,13
356,766
320,319
269,775
595,369
578,565
236,139
288,579
40,389
107,488
617,348
223,103
380,796
222,63
325,232
336,227
67,710
417,295
139,265
102,115
544,331
131,434
203,704
378,266
396,651
743,97
350,610
77,562
290,622
105,150
787,764
90,787
562,23
559,583
380,652
366,760
780,228
698,583
545,297
241,256
21,516
724,163
491,768
165,510
47,774
302,56
686,780
745,172
717,369
446,295
45,236
283,497
346,272
441,342
335,283
492,361
489,614
431,365
156,628
598,190
358,175
53,614
398,273
653,433
373,92
251,350
448,728
383,311
570,505
597,390
738,22
29,621
322,712
608,176
164,84
93,318
754,285
581,609
611,692
21,460
651,345
265,162
368,209
659,703
667,174
656,213
582,416
186,428
321,491
560,735
593,600
716,292
662,428
194,651
751,626
179,242
39,672
428,758
564,550
194,602
605,298
626,28
327,445
476,79
432,64
722,382
108,318
329,282
712,195
717,205
258,352
395,412
556,19
431,218
526,61
501,318
209,6
428,146
426,458
357,368
524,513
484,644
372,526
35,43
221,412
153,253
502,213
442,161
744,189
445,791
304,227
138,568
500,651
149,142
719,456
162,587
438,108
244,761
254,394
388,119
680,287
313,756
99,73
790,14
287,746
639,455
75,113
631,330
200,52
492,665
776,307
236,795
401,412
506,98
426,685
418,292
270,442
694,272
704,677
789,516
178,774
187,697
437,71
777,614
379,27
61,525
737,389
27,89
185,455
33,273
543,468
644,525
727,14
349,606
158,484
673,332
181,727
295,796
102,87
404,666
306,621
427,353
192,324
765,112
254,221
527,752
705,228
21,454
147,316
19,101
401,785
444,609
493,790
36,605
229,112
69,714
604,606
544,485
368,255
239,247
277,38
766,714
425,209
650,238
128,421
328,33
425,765
401,274
600,679
76,229
26,458
238,335
529,87
742,174
171,486
152,25
748,86
698,395
760,154
528,275
761,534
348,378
166,311
235,709
341,623
4,154
217,526
383,167
575,220
244,216
88,59
572,555
359,272
767,417
561,756
601,401
473,130
223,524
549,424
701,520
368,631
153,293
640,444
620,662
553,361
289,481
195,713
